Board,Pile,Tile,Score
1220,2,1,6
0224,1,1,-6
0123,3,2,2
1323,2,2,28
0337,3,6,33
0231,2,3,18
1315,0,1,17
1327,2,1,6
1303,3,3,8
0351,1,2,20
1324,1,3,1
1021,3,1,37
0350,1,1,71
0230,1,1,42
1320,1,2,13
0107,3,5,54
1147,2,1,19
0137,2,1,21
1116,1,1,8
0226,2,2,1
0044,2,2,-1
1131,0,1,-1
0225,3,4,10
0211,1,1,70
0337,2,1,82
0352,3,1,76
1150,1,1,31
0356,3,3,32
1253,2,1,16
1043,0,1,11
0353,3,1,9
0322,3,2,17
0157,3,5,51
0142,3,1,8
0041,2,2,36
0352,2,3,32
0312,1,1,16
0312,3,2,34
0307,1,2,60
0214,2,1,11
1331,0,1,29
0330,1,1,36
1047,0,1,12
1137,0,1,50
0037,3,4,20
1325,3,4,18
1055,3,1,6
0054,2,2,33
0340,2,1,17
0230,2,2,2
1252,3,2,-11
1210,1,2,-12
0150,2,3,17
1027,3,5,7
1152,2,4,6
1303,3,1,11
1202,1,2,1
0032,2,3,-36
0327,3,1,44
0226,1,2,-1
1107,3,3,6
1101,0,1,-40
1051,3,1,31
1020,2,1,-48
1253,2,4,13
1203,1,2,11
0140,2,3,-36
0356,3,6,15
1311,2,1,-3
1027,0,1,81
0017,3,1,27
0337,3,3,13
0234,1,1,13
0034,3,3,0
1352,0,1,32
0252,2,4,18
1326,2,2,13
1052,0,1,43
1007,3,6,-46
0350,2,1,36
0152,3,2,18
0352,2,2,24
0310,2,1,37
0340,2,3,31
0337,3,5,22
0132,3,1,13
0304,3,3,2
0117,3,6,50
1023,3,1,8
1331,1,3,-7
1021,2,2,-16
0037,2,3,32
0322,1,1,15
0212,3,2,14
1334,3,1,6
0103,3,1,20
1030,0,1,-10
1157,3,2,9
1053,0,1,29
0033,2,1,27
0133,2,3,3
1326,3,3,-4
0323,1,3,6
0257,3,1,15
0250,2,5,-8
1344,3,2,1
1042,0,1,4
1237,1,1,34
1037,3,3,8
1251,2,2,-6
1211,0,1,-3
0111,1,1,-32
0347,2,2,31
1056,3,1,13
1054,3,4,9
0215,3,1,5
1057,2,1,37
0047,3,4,4
0207,1,2,33
1156,0,1,9
0317,3,5,22
1003,3,2,-40
1251,2,4,8
1155,1,1,19
0055,3,3,20
0032,3,2,-11
1050,2,5,110
1055,3,2,4
1305,1,1,26
0205,3,3,8
1351,2,2,-4
0331,1,1,4
0230,2,3,-24
0054,3,3,19
0036,2,1,11
0047,3,1,11
0016,3,1,4
1227,2,2,33
0207,3,4,9
0005,3,2,10
1320,2,2,5
0307,3,1,47
0106,3,5,-22
0303,1,2,31
1301,1,2,95
0226,1,1,15
0116,1,1,22
1047,3,5,24
0042,3,2,-4
0037,2,1,49
0216,2,1,13
1011,3,1,-48
1325,2,2,15
1305,0,1,22
0205,3,2,3
0202,1,2,-38
1235,3,5,5
1130,2,2,35
0051,2,4,-82
1053,3,3,60
0354,3,1,6
0323,1,2,7
1253,3,1,13
1217,1,1,-4
1110,1,1,-38
1326,1,1,13
1216,0,1,5
0327,1,3,62
0355,3,1,11
0154,1,1,20
0024,3,1,4
1304,0,1,28
1256,2,2,-2
1136,0,1,-4
0013,2,1,36
1153,1,1,13
0107,3,4,50
1057,3,3,28
1050,2,4,-76
1147,3,3,10
1114,2,1,1
1017,3,3,5
0056,3,3,7
1337,3,2,1
0335,2,1,-2
1127,3,6,15
1111,3,1,25
1341,2,2,1
1301,1,3,-24
0047,2,2,46
0157,3,7,56
1322,0,1,27
0222,2,2,15
0347,3,6,25
1337,3,6,3
1330,2,2,10
0352,1,2,30
1056,3,3,11
1052,2,4,-8
0157,2,5,50
1316,0,1,27
0057,3,1,44
0052,2,1,35
0032,2,1,37
1156,1,1,35
0056,3,6,6
1353,0,1,3
0053,2,5,-13
1237,2,2,-2
1213,3,3,-4
1255,3,3,6
1230,2,2,3
1354,0,1,9
0324,2,2,13
0303,3,2,19
1344,0,1,14
0305,1,2,35
1303,1,3,28
0355,3,5,27
1306,0,1,32
1324,2,2,21
0304,3,1,35
0302,3,1,56
0304,1,3,5
1027,3,6,-16
1302,0,1,19
0216,3,4,10
1054,3,3,20
1221,3,1,4
0117,1,1,2
0054,2,4,22
0044,2,3,8
0117,2,1,79
0104,3,4,60
0015,3,5,60
0212,3,1,-3
0240,2,1,31
0130,2,1,71
1255,2,2,-4
0115,2,1,3
1307,1,1,25
1107,0,1,72
1307,3,5,7
1102,0,1,48
1341,1,2,6
1140,2,3,10
1157,0,1,51
0137,3,1,2
0006,3,4,-48
0055,2,3,9
0353,2,2,29
0212,2,1,19
1153,0,1,14
0123,1,1,8
0227,1,1,-3
1023,2,2,-1
0203,3,3,-22
0057,2,4,59
1345,3,5,-2
1040,2,1,35
1157,2,3,-8
1121,0,1,2
0157,3,1,47
0056,2,3,18
0327,2,1,90
0105,3,5,50
0250,2,2,9
1102,3,1,55
1334,0,1,16
0324,2,1,11
0114,3,2,9
0320,1,2,48
0152,2,5,15
1137,3,1,9
1133,2,3,3
0223,2,1,18
0113,2,1,26
1301,0,1,50
1307,3,4,21
1334,3,3,1
1254,1,2,12
1024,0,1,-1
0213,3,2,11
1353,2,1,10
1341,2,3,8
0321,1,2,-3
1301,3,1,25
0157,3,3,21
0054,2,3,15
1314,1,1,11
1210,0,1,58
1307,1,3,55
1252,3,1,30
1250,2,1,22
1230,1,2,-4
0107,3,7,115
1336,2,3,16
0113,3,3,-8
0214,3,1,6
0111,3,1,-60
1006,3,4,18
1254,3,1,5
1250,2,3,26
1131,2,2,-4
1127,0,1,22
0206,1,1,9
1342,3,1,10
1321,1,2,3
1120,2,2,-10
0053,2,2,7
0023,3,2,38
1145,2,4,5
0232,3,1,15
0153,1,1,23
0142,2,3,2
0347,1,2,32
1312,2,1,30
1022,0,1,12
1127,2,1,17
0307,3,4,38
0103,3,2,-40
0145,2,2,1
1321,3,1,32
1157,3,7,4
0041,2,3,-36
1321,2,1,-3
1306,1,3,15
1342,0,1,13
0242,3,1,1
0221,2,1,26
0145,1,1,0
0057,3,2,23
0056,3,4,5
0042,3,1,32
1040,2,4,55
0251,2,3,-3
1316,2,1,8
